table_name,column_name,data_type,character_maximum_length,is_nullable,column_default
ad_campaigns,id,character varying,36,NO,(gen_random_uuid())::text
ad_campaigns,tenant_id,character varying,36,NO,
ad_campaigns,outlet_id,character varying,36,YES,
ad_campaigns,campaign_name,character varying,255,NO,
ad_campaigns,campaign_type,character varying,20,NO,'OWN'::character varying
ad_campaigns,advertiser_name,character varying,255,YES,
ad_campaigns,advertiser_contact,character varying,255,YES,
ad_campaigns,advertiser_phone,character varying,30,YES,
ad_campaigns,advertiser_email,character varying,255,YES,
ad_campaigns,status,character varying,20,NO,'draft'::character varying
ad_campaigns,start_date,date,,NO,
ad_campaigns,end_date,date,,NO,
ad_campaigns,active_hours_start,time without time zone,,YES,'00:00:00'::time without time zone
ad_campaigns,active_hours_end,time without time zone,,YES,'23:59:00'::time without time zone
ad_campaigns,active_days,jsonb,,YES,"'[1, 2, 3, 4, 5, 6, 7]'::jsonb"
ad_campaigns,display_locations,jsonb,,NO,"'[""KIOSK""]'::jsonb"
ad_campaigns,display_duration_sec,integer,,YES,10
ad_campaigns,display_priority,integer,,YES,5
ad_campaigns,revenue_model,character varying,20,YES,
ad_campaigns,rate_per_day,numeric,,YES,
ad_campaigns,rate_per_1000_imp,numeric,,YES,
ad_campaigns,total_contract_value,numeric,,YES,
ad_campaigns,amount_paid,numeric,,YES,0
ad_campaigns,balance_due,numeric,,YES,0
ad_campaigns,submitted_for_approval_at,timestamp without time zone,,YES,
ad_campaigns,approved_by,character varying,36,YES,
ad_campaigns,approved_at,timestamp without time zone,,YES,
ad_campaigns,rejection_reason,text,,YES,
ad_campaigns,total_impressions,integer,,YES,0
ad_campaigns,total_clicks,integer,,YES,0
ad_campaigns,created_by,character varying,36,NO,
ad_campaigns,created_at,timestamp without time zone,,YES,now()
ad_campaigns,updated_at,timestamp without time zone,,YES,now()
ad_creatives,id,character varying,36,NO,(gen_random_uuid())::text
ad_creatives,tenant_id,character varying,36,NO,
ad_creatives,campaign_id,character varying,36,NO,
ad_creatives,creative_name,character varying,255,YES,
ad_creatives,file_type,character varying,20,NO,
ad_creatives,file_url,text,,NO,
ad_creatives,file_name,character varying,255,YES,
ad_creatives,file_size_bytes,bigint,,NO,
ad_creatives,file_size_display,character varying,20,YES,
ad_creatives,mime_type,character varying,50,YES,
ad_creatives,dimensions,character varying,30,YES,
ad_creatives,duration_seconds,integer,,YES,
ad_creatives,display_order,integer,,YES,1
ad_creatives,is_active,boolean,,YES,true
ad_creatives,passed_content_check,boolean,,YES,false
ad_creatives,content_check_notes,text,,YES,
ad_creatives,uploaded_by,character varying,36,YES,
ad_creatives,uploaded_at,timestamp without time zone,,YES,now()
ad_impressions,id,character varying,36,NO,(gen_random_uuid())::text
ad_impressions,tenant_id,character varying,36,NO,
ad_impressions,outlet_id,character varying,36,YES,
ad_impressions,campaign_id,character varying,36,NO,
ad_impressions,creative_id,character varying,36,NO,
ad_impressions,display_location,character varying,30,YES,
